r1,count,ratio
1,20666,0.41073238596839906
2,13279,0.26391732087846564
3,8476,0.16845871012620492
4,4488,0.08919805227069462
5,2105,0.04183643048792607
6,799,0.015879956275464572
7,304,0.006041935804432078
8,132,0.0026234721256086654
9,41,0.0008148663420451158
10,18,0.00035774619894663617
11,5,9.937394415184339e-05
12,1,1.9874788830368677e-05
13,1,1.9874788830368677e-05
