r1,count,ratio
1,11968,0.4993324432576769
2,5350,0.22321428571428573
3,2663,0.11110647530040053
4,1446,0.060330440587449935
5,837,0.03492156208277704
6,521,0.02173731642189586
7,346,0.014435914552736982
8,226,0.009429238985313752
9,159,0.006633845126835781
10,87,0.0036298397863818426
11,83,0.003462950600801068
12,55,0.0022947263017356477
13,46,0.0019192256341789052
14,23,0.0009596128170894526
15,13,0.0005423898531375167
16,14,0.0005841121495327102
17,22,0.000917890520694259
18,15,0.0006258344459279039
19,11,0.0004589452603471295
20,8,0.0003337783711615487
21,11,0.0004589452603471295
22,7,0.0002920560747663551
23,5,0.00020861148197596796
24,2,8.344459279038718e-05
25,1,4.172229639519359e-05
26,3,0.00012516688918558078
28,2,8.344459279038718e-05
29,1,4.172229639519359e-05
30,3,0.00012516688918558078
32,3,0.00012516688918558078
33,4,0.00016688918558077436
34,3,0.00012516688918558078
35,2,8.344459279038718e-05
36,3,0.00012516688918558078
37,1,4.172229639519359e-05
38,5,0.00020861148197596796
40,2,8.344459279038718e-05
41,2,8.344459279038718e-05
42,3,0.00012516688918558078
43,1,4.172229639519359e-05
45,1,4.172229639519359e-05
46,1,4.172229639519359e-05
48,1,4.172229639519359e-05
52,1,4.172229639519359e-05
53,1,4.172229639519359e-05
54,2,8.344459279038718e-05
55,2,8.344459279038718e-05
57,1,4.172229639519359e-05
58,1,4.172229639519359e-05
